# synthesis rates in mRNA/min
# mRNA decay halflives in min
#
gene	synthesis_rate	halflife
lwjG	0.03	3.02
dkvF	0.02	4.24
xpwE	1.00	6.37
lgaB	1.00	4.37
zmeI	2.72	5.14
fnoT	0.03	4.89
bjzP	0.01	4.96
qpvA	0.25	0.85
htkJ	0.82	1.04
iqiP	0.04	3.32
eteQ	0.01	3.02
ussM	5.35	5.44
oscT	0.02	1.81
bmnF	0.02	2.02
xfeT	0.04	2.27
mjuW	0.76	4.22
ipgF	0.03	9.04
jdkY	0.12	5.21
kxkL	0.20	16.11
rxxL	0.15	8.29
ijcS	0.21	5.75
babO	0.15	1.74
kwqH	0.06	0.74
cuxZ	0.09	8.12
olhS	0.03	2.08
jmmB	0.01	4.05
yebN	0.20	5.37
zesJ	0.17	1.98
rnjS	0.00	2.44
wjaS	0.27	4.25
eveF	0.01	10.61
rlwU	0.01	8.69
egmN	0.03	1.97
sguU	0.12	3.26
hrrP	0.12	3.06
xxpE	0.60	3.90
ceuQ	0.20	3.99
lqiY	0.02	1.96
cdsN	0.00	11.37
ooqB	0.14	4.80
mztS	0.01	2.81
xisS	0.47	6.17
qjcZ	0.07	2.94
yqtT	2.95	0.93
rrfM	0.11	10.38
simD	0.03	1.30
uryY	0.20	1.92
skqK	0.09	4.36
vcnL	0.07	3.66
ghzO	0.01	7.61
lubI	0.03	9.36
weqN	0.28	2.36
dliE	0.07	3.42
jzxX	0.09	4.31
ynyA	0.20	2.67
chxG	0.09	5.36
tokM	0.09	3.97
wuhX	0.14	4.31
wwrR	0.07	2.60
bbwV	0.11	1.75
qniS	0.28	4.69
lkxY	0.01	2.49
dusW	0.06	11.95
xiaK	0.00	0.86
gtvV	0.06	3.39
jfpY	0.02	9.32
wunS	0.03	16.16
lfoW	0.04	4.18
xhlR	0.03	3.12
vfjN	0.04	6.59
kakT	0.08	5.59
ldqO	0.47	7.26
mbiK	0.02	0.78
iliK	0.18	3.74
koeI	0.26	8.90
ubcK	0.04	10.34
dztX	0.07	1.90
zkiB	0.00	2.70
uesX	0.29	4.65
xvdT	0.07	1.11
iglN	0.46	8.95
gorV	0.02	3.25
qlwH	0.06	3.17
enfR	0.14	8.62
pviH	0.12	1.36
wrbH	0.87	6.01
zagG	0.77	1.92
hcrA	5.03	6.26
zsaO	0.30	2.06
ilzX	0.21	1.91
hjlR	0.48	1.16
zkzM	0.02	6.64
zyiT	0.07	2.42
kxpB	0.02	2.11
ifdF	0.01	2.97
eouC	0.01	2.90
ulcK	0.06	3.55
nvmF	0.05	2.03
vmrK	0.01	3.93
vwhK	0.02	19.74
sxuU	1.37	3.24
udsD	0.97	3.23
twcG	0.00	5.76
zaaO	0.85	2.78
tfoW	0.10	16.64
iqsW	0.51	3.38
vsdJ	0.03	4.75
jtdR	0.06	2.75
ntxE	0.27	9.19
saaN	0.05	0.49
hzgH	0.03	3.89
flnQ	0.30	3.18
uykR	0.07	2.27
diqM	0.03	3.41
wwiI	0.06	1.47
itiY	0.26	1.35
dtgN	0.14	6.47
zxfZ	0.04	1.59
bakS	0.12	2.77
hjgK	0.00	5.27
jshP	0.38	18.57
ktdI	0.03	4.97
qhhG	1.27	1.56
undX	0.20	2.24
uplQ	0.05	3.95
aupX	0.17	1.53
bkmG	0.48	7.41
qghK	0.03	2.11
ttjG	0.03	10.50
zqbJ	0.27	3.22
gaaL	0.01	19.64
wiyV	0.05	1.14
kkbD	0.41	1.45
qaaA	0.02	2.07
amaE	0.03	3.84
eoqT	0.34	16.97
rlaA	0.06	0.88
kouD	0.15	3.64
izsS	0.40	5.40
cavK	0.61	5.21
dktG	1.40	3.71
ydcW	0.12	12.48
pluP	0.02	6.56
mar2	0.16	4.09
doaO	0.15	2.46
hidN	0.50	3.56
sshM	0.15	10.21
tpbK	0.20	4.16
wpjW	0.30	1.61
ggzT	0.21	2.34
hliS	0.02	1.90
tuaS	0.02	1.05
thwJ	0.01	1.11
ymsG	0.26	2.48
zkwL	0.25	20.67
mjtA	0.19	0.63
zgrZ	0.98	4.45
imnT	0.06	1.09
mliJ	0.02	1.11
bwvV	1.08	0.45
peiK	0.09	4.28
xrbD	0.32	12.62
ycfV	0.01	1.95
dnxH	0.07	12.35
ekdU	0.01	10.19
xuyE	1.12	1.95
gplX	0.16	1.46
hhlZ	0.18	6.01
rcmV	0.17	2.61
xbeA	0.01	1.26
pxmN	0.02	5.89
tkyQ	0.03	3.33
kmuP	0.06	2.48
vriL	0.10	4.58
uxgW	0.21	2.19
uziJ	0.01	1.75
weuZ	0.06	1.01
dfgX	0.40	5.36
dlgX	0.09	3.33
nnaN	0.54	0.76
tohK	0.03	5.79
yjuU	0.04	1.20
itqT	0.01	1.88
tukH	0.25	3.85
qqaH	0.50	16.84
tibY	0.04	3.54
rlfF	0.01	7.38
gocC	0.09	3.15
gqlY	6.21	2.50
vgkX	0.21	3.97
mumG	0.02	20.86
mkaE	0.49	4.52
yjwK	0.21	6.21
lfdC	0.40	28.04
gupU	0.08	3.71
ywqN	0.06	8.68
mjrQ	0.02	16.86
ckjR	0.02	9.33
cibZ	1.31	1.16
dgeW	0.02	2.42
sjpL	0.08	5.83
mpaR	0.15	0.79
jwxY	0.00	4.72
nfoR	0.03	2.28
pajL	0.08	11.22
ukbP	0.06	3.69
dhkW	0.83	3.65
tchB	0.10	2.78
kupE	0.09	7.20
uzrW	0.06	4.88
jnbD	0.42	4.80
ydpU	0.07	9.06
cqzW	0.03	1.77
dgfD	0.01	4.04
tgmO	0.03	3.15
etsJ	0.01	9.43
fifF	0.03	2.67
hstB	0.04	18.20
mpuG	0.03	5.92
dueY	1.21	5.25
kneJ	0.02	2.18
mfhR	0.19	10.07
vnpE	0.24	4.93
lwvE	0.06	5.40
krwH	0.01	1.07
yyhV	0.42	2.45
ihjH	0.31	1.85
osjO	0.05	2.58
ghxL	1.76	6.32
ztbV	0.06	2.17
luhM	0.05	2.36
fynD	0.08	8.91
zhjX	0.14	0.68
hudS	0.50	7.29
nqbP	0.10	3.67
fbmR	3.74	8.28
kggK	1.96	3.31
kavH	0.08	5.12
eacV	0.16	0.78
mdyS	0.13	4.66
eyoB	0.03	2.24
fltR	0.00	7.54
cagB	0.29	2.76
eqeR	0.02	1.02
viiQ	0.01	2.44
owyT	0.18	1.14
uabJ	0.13	1.34
bqkH	0.13	0.67
gvjF	0.09	6.48
epcR	0.04	1.45
sgeB	0.05	8.98
rfpG	0.51	1.20
dnmI	0.01	15.80
vhtX	1.55	4.33
rxaK	0.29	2.72
vydE	0.03	3.58
aybX	0.31	4.35
zggJ	0.05	5.62
fqpN	0.21	3.20
bfzN	0.05	2.93
sgkS	0.09	1.75
lvhG	0.02	7.43
dxcT	0.55	19.49
gloI	0.07	4.99
gepA	0.13	3.69
rdxF	0.06	16.72
sdtK	0.01	4.04
hepQ	0.00	1.06
watJ	0.04	14.38
ypjM	0.25	3.85
kyeE	0.10	4.91
npmT	0.34	3.49
vqaU	0.20	15.17
harN	0.03	16.79
ajfB	0.12	3.37
brtF	0.20	2.95
pveD	0.01	3.42
ldtU	0.07	15.52
lujH	0.15	2.80
vtcZ	0.47	3.91
aufR	0.16	4.64
qocO	0.24	13.23
yycG	0.23	4.38
xghQ	0.01	1.82
gqtK	0.02	1.62
fghF	0.22	10.02
xpzR	0.02	2.10
cawW	0.04	5.04
sztL	0.02	2.93
wtsZ	0.32	2.09
zobX	0.03	8.86
vvyC	0.06	1.48
fxmC	0.20	35.42
gckS	0.01	1.85
ljcB	0.07	0.38
rquF	0.12	0.94
rjqO	1.28	4.16
nrqZ	0.07	2.57
thyY	0.06	4.43
cjmS	1.46	1.68
gwqF	0.02	4.38
jvfX	0.50	1.85
zpsM	0.11	2.12
zziF	0.01	4.54
bjaS	0.49	2.53
qioT	0.03	10.06
qyuW	0.08	1.41
zgwN	0.23	1.91
wtxO	0.01	8.75
krjJ	0.04	5.42
hqiM	0.10	5.49
hwwI	0.02	0.61
qkgA	0.03	1.83
tvrM	0.52	3.52
abpY	0.33	3.57
gdvH	0.15	2.22
kgdZ	0.03	3.17
cvlW	0.73	15.46
uocB	0.09	2.36
tgiQ	0.11	1.58
ryyW	0.17	1.52
hipY	0.03	2.14
vdvX	0.04	2.81
ywtG	0.03	2.30
srzB	0.82	3.01
bekU	0.25	3.07
zkhK	1.13	0.90
ysxF	0.02	4.36
jfjS	1.09	1.84
qeqK	0.30	7.56
ucmQ	0.27	3.60
rjmM	0.06	3.08
oqeP	0.04	28.02
mmdF	0.09	6.77
qrjV	0.08	3.00
uefT	0.07	1.36
cacN	0.04	26.72
wikP	1.58	3.48
qywJ	4.77	2.66
bxlI	0.05	4.32
ofdA	2.39	1.27
oeoY	0.02	3.69
eqeH	0.27	13.24
ybqL	0.06	13.85
kzgC	0.08	7.01
iesB	0.07	3.25
kywB	0.26	3.68
coxB	0.10	2.56
ipaZ	0.04	4.48
njhT	0.02	2.66
vtoI	0.01	3.74
kozR	0.14	2.96
wjgN	0.02	3.42
lscQ	0.01	2.88
rhqF	0.11	3.37
cruF	0.07	3.51
xxzF	0.07	1.91
avtN	0.02	8.36
hyqE	0.02	0.91
zwoR	0.09	1.30
vewS	0.02	1.76
adnV	0.24	3.25
qiyH	0.02	2.28
qxsU	0.02	2.84
kuwF	0.06	9.64
uolK	0.01	7.00
lwuG	0.02	3.87
figP	0.04	1.68
pbzL	0.14	2.18
wbnV	0.02	6.37
wmeI	0.23	5.33
cbqH	0.49	4.18
mnpU	0.92	4.61
qyoD	0.05	3.09
lroK	0.03	6.66
kufO	0.02	1.48
mbsC	0.00	1.24
uguF	0.02	3.33
kzrM	0.06	2.13
mdrM	0.02	5.59
zkcM	0.00	2.46
iqtC	0.01	2.22
odyG	0.03	4.29
ghkF	0.11	5.03
cxlD	0.18	1.31
lwhB	0.01	4.97
yacI	0.17	1.03
vtwJ	0.02	3.38
kofV	0.18	1.74
lkkK	0.16	0.91
klaQ	0.03	1.45
grlF	0.12	2.12
sbbW	0.04	4.87
rfrR	0.56	1.31
cmdL	0.06	5.45
qrtY	0.09	4.38
dkkX	0.17	3.42
fooU	0.00	16.65
gcvI	0.00	2.89
vdbK	0.17	3.74
ujwS	0.03	5.32
paeJ	0.03	2.31
xpkK	0.16	13.34
onqC	0.05	4.36
fxnZ	0.55	39.31
fsmA	0.06	1.49
kfwU	0.05	3.15
ajhP	0.12	1.16
ignX	0.23	2.63
vprS	0.01	2.01
qkgY	0.06	7.60
cfkX	0.01	20.72
gtcV	0.07	4.99
npgF	0.93	5.61
swwU	0.53	9.46
bbuN	0.41	8.01
grkP	0.02	8.12
pvrX	0.01	3.35
fdtM	0.04	0.51
eudJ	0.00	2.60
strI	0.05	3.34
riuQ	2.01	1.33
lpeQ	0.02	1.88
xifO	0.03	12.73
gomS	0.12	1.85
zoyY	0.04	4.26
bpuK	0.12	3.96
afxC	0.32	4.00
lxiO	0.21	2.54
yovD	0.36	6.55
zoeA	0.11	1.04
ynoE	0.06	0.98
xdtE	0.06	1.51
cnvM	0.57	29.13
ucrY	0.05	2.07
engO	0.26	8.83
nbfA	0.59	2.68
onrV	0.03	2.44
necD	0.03	4.25
diiO	0.16	3.27
gxyW	0.08	1.35
oiqZ	0.25	7.12
bbmK	0.02	3.86
tjdH	0.05	9.28
alfN	0.01	7.74
qjhL	0.01	2.09
bexV	0.06	2.93
jrlT	0.10	8.23
qqaW	0.01	6.75
hwjP	0.17	1.55
lkjB	0.01	0.92
xzjW	0.33	5.95
bubJ	0.01	4.82
olzP	0.10	2.19
uzoA	0.02	1.66
ctzC	0.06	0.96
iewU	0.10	3.02
ppjJ	0.10	17.25
hizZ	0.13	6.00
ssvI	0.22	6.53
kvjT	0.01	0.91
sdhG	0.00	1.23
zgsE	0.08	0.47
kghP	0.09	4.63
vxhI	0.50	3.41
pnsX	0.19	2.20
ztfA	0.54	3.19
llwK	0.02	3.28
uzdZ	15.96	2.45
ulzG	3.80	1.44
ijiK	0.02	3.15
cekX	0.13	1.86
qhqN	0.14	7.67
rhtS	0.04	5.76
jrwT	0.05	6.61
ndlE	0.10	8.13
dooJ	0.22	3.84
ywmQ	0.17	1.19
bnuN	0.35	0.93
mxeL	0.00	1.58
zfjL	0.01	3.30
kgoI	0.04	1.57
wuiK	0.19	2.87
bgoB	0.07	1.16
qnnN	0.09	2.35
mabL	0.42	3.49
oifE	0.11	9.83
zoqF	0.03	14.90
zjcO	0.04	2.90
khdP	0.12	7.30
kxaE	0.01	3.08
kqzK	0.02	5.32
winY	0.07	4.75
codQ	0.02	7.02
yfmL	0.02	1.24
opfW	0.01	1.69
vxoQ	0.28	11.87
aayZ	0.10	4.42
oitY	1.31	2.24
mgcO	0.45	2.11
glcY	0.01	3.02
lcuX	0.06	9.50
dznO	0.13	12.24
diqG	0.23	4.28
piyS	0.01	2.53
hjfK	0.13	4.56
stcM	2.25	5.46
qtkV	0.24	0.59
njbC	0.63	6.25
tvhX	0.09	4.24
hlzZ	0.28	1.78
amsG	0.06	7.86
sudO	1.27	7.67
orsO	0.47	6.16
lfcW	0.06	2.70
fjnS	0.02	3.25
dec1	0.04	12.90
unbC	0.83	15.29
dreI	0.34	5.08
hivG	0.04	1.57
ouaT	0.60	3.33
jdxP	0.69	5.80
mciO	0.02	5.59
nqlN	0.66	1.82
uyqQ	0.08	3.05
zazJ	0.45	5.16
wghI	0.07	3.50
adlK	0.33	2.87
ovyB	0.30	4.03
ywxJ	0.04	2.07
zhdM	0.13	2.94
fczC	0.07	1.71
yioN	0.16	2.93
apqJ	0.01	7.02
mcbM	0.03	2.22
nqjL	0.20	5.98
hnxJ	0.04	1.19
hzrR	0.24	5.48
wmoH	0.09	2.85
dijT	0.10	4.76
hvjC	0.87	2.97
swdV	0.88	11.45
notF	0.03	1.83
mowY	0.52	3.98
bpeG	0.01	2.06
bjcK	1.86	0.65
aswY	0.00	3.91
vrdF	0.00	3.28
ufsH	0.10	8.99
jzrR	0.03	5.22
lsxW	0.14	4.21
qvqP	0.51	9.99
pxcK	0.03	3.17
dwtJ	0.15	4.09
eusI	0.00	1.61
ykkI	0.08	3.09
hfpA	0.88	4.00
asdG	0.14	1.31
qzcF	0.67	5.54
nmcG	0.05	1.81
inhB	0.02	0.30
ugeI	0.03	2.36
frhW	0.09	8.40
tgzP	0.16	2.88
cbrJ	0.02	3.59
qacL	0.24	5.26
nvsV	0.02	9.76
puqQ	0.00	1.33
rhuT	0.64	1.36
nduI	0.16	3.38
hgbR	0.91	1.88
lpgF	0.14	1.42
pftI	1.27	1.05
udoV	2.95	2.34
nesY	0.08	4.42
xioF	0.35	6.15
nztP	0.01	16.30
quwU	0.43	2.35
hchV	0.56	4.83
dyeX	0.01	7.43
lyeR	0.07	20.20
wclC	0.00	2.54
tsnI	0.04	4.52
qshU	0.21	7.03
jzvJ	0.08	20.92
kcsD	0.16	1.77
qdnL	0.01	5.64
pttF	0.13	2.09
anwU	0.06	3.55
lahZ	0.02	6.83
ntcF	0.05	8.00
jikY	0.31	3.76
spoM	0.01	15.35
pkiS	0.14	0.49
ibrS	0.06	2.56
fdaM	0.03	12.08
tipF	0.08	8.18
ttiB	0.00	3.56
mkaB	0.08	1.69
bvaI	0.63	5.67
ayqW	1.51	1.91
xpoS	0.02	1.36
rpxO	0.00	2.18
phkN	0.27	6.27
mbzO	0.20	2.20
qyfE	3.89	2.18
bpmU	0.01	6.65
rndZ	0.00	1.97
aixP	0.16	2.84
ygaI	0.01	8.28
ibwM	0.59	4.10
bxxE	0.06	8.37
nnrE	0.10	0.70
ehiY	0.01	1.25
nqtR	0.20	3.04
lflW	0.13	4.38
gaoN	0.00	5.79
qzoD	0.08	0.83
hpfZ	0.47	0.59
dxqI	0.11	4.88
fsqP	0.79	1.51
xgzF	0.01	26.12
ccvI	0.02	3.47
uqdB	0.02	3.18
cavE	0.30	2.08
fseV	0.05	2.01
ulfZ	0.00	0.87
yuuW	0.06	1.64
habE	0.23	1.66
xkcV	0.08	2.66
sweL	0.03	2.45
lhpR	0.05	3.93
ejgE	0.86	3.76
kapQ	0.12	2.65
fuzU	0.00	2.77
medV	0.10	0.70
pfkY	0.14	6.92
pqxR	1.78	4.45
ehyE	0.06	4.06
aksV	0.03	7.20
dtvH	0.63	7.65
onkU	0.16	1.45
mpbV	0.15	4.68
hbiV	0.25	0.56
sboE	0.29	2.32
hxlD	0.59	2.73
uhwM	0.78	10.71
tvdR	1.64	3.57
azcZ	0.52	2.11
kzbZ	0.03	3.92
sklW	0.08	1.87
kwnJ	0.22	2.60
vhdR	0.01	5.90
npdG	0.14	8.96
yooS	0.01	3.11
osmK	0.00	1.68
ovbF	0.01	3.44
nbbQ	0.08	13.35
slwZ	0.05	1.93
dwhE	0.23	2.14
uwoS	0.14	1.27
hqbR	0.12	1.80
zifD	0.89	6.36
zxbX	0.04	3.44
frhQ	0.33	11.37
cttM	0.15	3.16
xocA	0.03	5.15
idaI	0.07	4.60
bsrP	0.70	1.27
zgqI	0.08	4.89
tvgV	0.19	0.65
lpcJ	0.29	10.71
aoiR	0.66	2.88
ynxC	0.49	5.54
namT	0.03	1.00
sccZ	0.34	11.13
orkT	0.35	7.95
rnjW	0.06	3.09
zjwO	0.01	2.39
imtG	0.73	2.83
eonM	0.09	2.21
oawC	0.01	8.54
dfdS	0.55	2.92
pyzF	0.00	1.24
dokM	0.01	1.73
oucP	0.16	3.25
qjkN	0.16	5.02
ltlA	0.13	7.85
bwgZ	0.13	5.64
gijD	0.28	9.15
mnlD	0.02	1.57
vcpM	0.97	1.13
ldhW	0.36	1.88
gunN	0.29	1.57
phkG	0.01	17.05
jeqA	0.01	6.58
juoT	0.02	4.90
wuzP	0.03	2.34
qjcW	0.70	9.06
ddbL	0.04	2.07
brsM	0.06	5.79
lueF	0.81	4.39
uomK	0.03	4.05
hzqG	0.51	1.31
ledB	0.05	1.93
wmrK	0.03	6.88
faoG	0.06	5.98
wrxC	0.07	10.49
cbbP	0.14	4.18
odlS	0.02	4.90
yyfF	0.37	3.96
fxhN	0.02	2.28
uroZ	0.10	1.37
legT	0.01	3.94
gprQ	0.02	4.55
xyeS	0.20	8.35
gylV	0.24	23.07
qnmL	0.07	3.73
msdG	0.08	3.58
kkoF	0.11	0.92
fesE	0.12	0.75
atxT	8.57	8.76
eioK	0.04	36.52
jgrR	0.12	2.20
jdhQ	0.08	13.65
zdgZ	0.11	12.68
dwjI	0.96	1.08
riyR	0.16	2.39
xalV	0.17	1.13
bgxW	0.03	11.22
amsZ	0.01	5.07
znwW	0.06	1.79
aotO	0.16	1.00
fgiA	0.44	10.50
yhfO	0.03	3.16
oezB	0.09	2.97
ayyG	0.03	7.72
zydU	0.22	8.63
pxuQ	0.14	2.33
hpkE	0.03	1.28
sotN	0.22	8.65
dvoY	0.03	5.68
rljB	0.06	3.49
dhsM	0.12	3.87
yqmH	0.01	0.57
efuE	0.06	5.09
nwmA	0.01	3.40
jekO	0.29	1.48
nhtP	0.04	19.21
fzfC	0.08	8.70
cgwZ	0.02	0.67
lyeO	0.02	3.64
xbqD	0.21	2.50
geeS	0.09	2.51
nmsN	0.28	1.71
fhfM	0.04	1.65
fvoA	0.01	2.22
ovfH	0.46	0.54
bcrZ	1.07	4.95
paqQ	0.42	0.58
hotA	0.10	1.74
rtmX	0.09	5.75
cjnR	0.08	2.81
uumJ	0.07	2.47
npuK	0.11	4.15
ojdQ	0.12	13.07
edlO	0.01	1.19
juyD	0.47	1.72
pzmW	0.15	1.64
xtkW	0.12	2.20
gtcC	0.01	3.39
tuxJ	1.32	1.00
dcnF	1.45	1.20
rigR	0.29	0.99
wtqU	0.03	2.18
ddaZ	0.07	6.15
bxyE	0.21	2.26
hnhA	0.01	9.82
tftB	0.17	0.58
cvcB	0.02	2.50
lfdE	0.02	3.02
eikX	0.05	7.22
vuuX	0.04	1.64
vyiL	0.10	2.40
mnoS	0.01	1.40
xaeQ	0.03	30.99
wzkD	0.20	1.58
orjV	0.00	1.15
zhjE	0.10	5.44
fukI	0.03	8.93
hqtA	0.06	14.50
swbA	0.19	0.65
rntJ	1.74	1.29
fovA	0.13	3.45
nkkP	0.00	7.44
ybkN	0.03	1.43
pggB	0.18	9.27
avwJ	0.55	2.78
iaeI	0.13	0.51
fbsA	0.55	5.99
zpjK	0.09	9.23
ruaW	0.05	5.71
eduV	0.20	2.98
ihnR	0.06	3.91
bweN	0.04	3.35
pswD	0.01	4.24
jhdL	0.09	5.65
ttsU	0.05	10.27
rlbK	6.28	9.00
ufeU	0.02	4.63
mgfY	0.09	6.24
ddfF	0.08	2.62
wmqP	0.02	1.67
tqaP	0.04	1.79
xgrJ	0.03	1.90
lssF	0.03	2.71
xpzA	0.27	5.09
xdyP	0.02	4.58
bhwX	0.03	8.08
gajA	0.02	0.69
gqoO	0.03	5.98
vwaZ	0.03	1.16
nuzK	0.13	0.95
jslH	1.34	1.86
qrqC	0.03	2.26
xsjB	0.00	7.50
rhtK	0.01	1.41
kkvD	0.19	10.47
hzpB	0.09	7.56
qoxO	0.24	0.74
xugL	0.63	2.22
dpcQ	1.81	0.72
jktD	0.02	5.64
bfzS	0.47	1.19
jayQ	0.02	3.64
dhiR	0.01	2.39
ejgP	3.25	3.19
wnuM	0.06	5.67
llwQ	0.02	4.78
fxgZ	0.04	2.42
viyW	0.09	1.33
lrrM	0.19	4.94
hmvJ	0.40	5.57
dhlA	0.06	8.37
klxF	1.00	3.99
oejL	0.12	0.96
unoL	0.04	2.62
tnmZ	1.21	2.15
tisC	0.03	3.26
walL	0.01	15.06
fjyH	0.01	6.40
pezP	0.03	4.16
eaaB	0.33	2.77
svoE	0.03	3.06
oynM	0.01	3.14
owtW	0.04	1.05
ugkD	0.02	1.87
tuhS	0.08	4.61
zpjL	0.01	3.07
dksQ	0.06	4.26
sxfA	0.46	7.38
cltA	0.07	9.29
tfoS	0.01	3.55
tviE	0.01	1.44
bimY	0.06	2.64
tixW	0.53	7.71
oesE	0.22	1.26
wsaO	0.01	3.00
mesC	0.15	6.72
hrdA	0.46	5.30
xbkA	0.08	23.16
gnmM	0.02	2.90
rsbE	0.02	10.71
ldfL	0.36	2.40
hnsB	0.03	6.38
izaM	0.05	4.97
nsiY	0.02	2.21
oakH	0.56	2.49
wzfS	0.83	6.88
hhrG	0.01	5.19
amlB	0.45	3.03
mkrD	0.03	2.46
titN	0.22	4.15
gjwZ	0.19	4.02
fgwW	0.06	10.88
ksrZ	0.09	1.80
nxiF	0.04	4.83
cicC	0.12	1.17
ngqI	1.23	7.96
vsvK	0.06	6.14
emfX	0.14	2.98
cqfJ	0.00	2.01
qytS	0.56	2.15
nfnC	1.43	1.69
arkW	0.06	5.99
dkdD	0.50	4.58
ruoO	2.49	3.61
nngX	0.07	2.95
mlgD	0.53	1.95
njzN	0.02	2.70
kkaP	0.82	3.55
osaM	0.09	3.34
dvkG	0.02	2.70
vfxO	0.02	11.21
loyG	0.08	1.69
cwkN	0.01	3.68
ajaI	0.03	10.92
xvaV	2.52	6.88
hocB	0.02	3.33
cgyO	1.43	1.38
jisN	1.41	2.84
bsqB	0.11	10.99
ehpD	2.91	1.55
xeyM	0.45	4.01
evaT	0.02	4.94
iauN	0.02	6.01
ljjE	0.10	15.35
hpzA	0.35	4.39
zemN	0.03	14.69
jpsW	0.49	6.79
wmzT	0.03	1.45
gbrU	0.03	2.33
yrpZ	0.50	3.52
uvjG	0.02	2.62
wycK	0.53	8.94
rdnJ	0.04	5.28
mghT	0.16	2.62
zuaX	0.14	8.87
tpcU	0.03	7.91
chzW	0.01	0.89
pzlE	0.30	1.05
jklN	0.03	2.61
qytK	0.07	3.05
tsxE	0.11	6.42
hrgN	0.52	2.22
rtvJ	0.82	2.51
ynnM	0.03	2.36
itdW	0.04	6.26
yzpT	0.02	1.18
ojqJ	0.15	5.21
hkkU	0.08	0.80
zwvM	0.16	3.09
tlhU	0.03	5.22
ssnZ	0.61	3.35
snzU	0.07	3.78
chvN	0.14	14.30
ovoB	0.09	6.60
sblP	0.05	10.97
gmlI	0.33	6.53
tkqA	0.07	4.60
zrkK	0.77	3.51
qjeS	0.33	4.52
ycrU	0.01	4.77
fleP	0.49	2.71
eirW	0.07	2.72
flyT	0.13	1.52
ecgW	0.01	2.59
earA	0.17	5.23
bvvZ	0.01	2.40
fcpK	0.03	2.06
bclQ	0.20	0.53
bjoL	0.14	3.50
wosK	0.12	2.30
dziI	0.02	5.38
aktC	0.04	10.33
gheU	0.10	3.63
hmlN	0.20	6.66
sqtU	0.20	1.29
cnoA	0.09	3.77
jzwZ	0.18	9.57
rqbS	0.11	5.10
nlpQ	0.07	0.92
gffC	0.04	5.85
tagI	0.35	1.43
yevA	0.15	13.40
qgvL	0.20	9.05
ilmM	0.56	3.23
fnqX	0.08	2.41
itcB	0.00	1.10
pzjY	0.02	2.33
qckF	0.06	5.31
qkaH	0.91	7.98
nyyH	0.21	10.34
hxlX	0.00	1.50
axwO	0.54	2.42
knxO	0.01	3.93
tpqP	0.04	4.08
omyP	0.01	3.62
pojP	0.13	0.89
hdlZ	1.82	3.40
sdgP	0.04	5.90
hycK	0.31	9.96
loaD	0.04	9.87
necG	0.03	2.90
wmdA	0.08	3.62
zmqF	0.04	4.62
zjoP	0.10	3.35
jqpU	0.02	10.11
zmaM	0.05	7.34
nypS	0.08	3.54
jodS	0.42	2.36
vuyX	0.00	9.88
hykF	0.03	4.70
btaE	0.05	8.09
awuN	0.86	26.76
auuO	0.11	2.59
uzbG	0.05	0.46
sqrJ	0.62	10.92
ltaS	0.05	10.25
qtzD	0.21	3.38
nzqZ	0.64	15.57
qrmA	0.15	2.82
dsmH	0.16	1.84
dckV	0.33	1.05
lrpE	0.67	1.18
jvzM	0.21	3.26
tnmE	0.07	3.26
laeU	0.06	3.22
tzmK	0.03	3.59
xupN	0.16	8.18
xxjT	0.08	0.83
aneJ	0.02	6.13
udkH	0.04	3.40
rcyO	0.38	0.45
tnrL	0.09	3.52
txgN	0.05	2.52
pfcX	0.32	6.00
ldsL	0.02	2.38
aacU	0.13	7.89
axtL	0.05	1.21
tjpO	0.04	3.65
dkiT	0.14	7.57
djgX	0.01	1.96
wiaD	0.08	9.72
hkeD	0.98	4.87
jojI	0.81	3.21
cftR	0.41	1.33
jmbN	0.01	6.63
mahW	0.04	1.88
tgvZ	0.00	11.00
ronX	0.17	2.98
ttfO	0.04	2.81
mbeO	0.20	2.99
nddO	0.04	1.78
whqX	0.02	1.37
ttlL	1.54	13.67
lxvX	0.33	1.94
zwuT	0.78	2.76
exrX	0.08	1.39
denC	0.05	2.09
gvkT	0.10	2.16
yytG	0.09	2.89
wgwM	0.47	1.62
aggA	0.01	8.50
fgrY	0.09	3.33
pdyP	0.72	2.51
qcuO	0.09	7.31
pxyR	0.08	9.95
zveA	0.03	2.20
juhX	0.18	1.95
hqtD	1.70	1.99
sep1	1.09	2.22
jgwT	0.03	2.55
yyiP	0.13	4.63
fxoU	0.03	1.51
lfbS	0.05	6.25
tqiL	0.01	12.81
ivbC	0.09	12.35
psiQ	0.05	1.55
jxcW	0.06	2.32
oqqP	0.26	6.36
aeyY	0.01	4.49
yocH	0.01	2.27
jgrG	0.25	2.22
axcA	0.13	4.62
rvfP	0.01	0.70
fxtH	0.01	1.51
kwxC	0.06	12.17
ahcC	0.22	4.40
ufqM	0.07	6.78
pqhB	0.18	3.52
xghE	1.15	6.18
yweG	0.84	6.43
iaxG	0.04	3.12
zkrN	0.07	1.29
vcpJ	0.05	5.07
iwgM	0.02	3.79
eqhU	0.05	1.75
lfzH	0.07	2.96
whjB	0.24	14.34
myrW	0.05	2.11
psnW	0.03	2.53
rnpW	0.01	1.27
wfrM	0.03	2.39
udjV	0.08	9.66
nsxY	0.00	7.09
tfnV	0.41	4.80
dhqL	0.03	1.09
